
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
1.8.2	  Πρότερον μὲν ἀπέσταλκά σοι τῶν ὑφ' ἡμῶν τεθεωρημένων 
1.8.3	γράψας μετὰ ἀποδείξεως, ὅτι πᾶν τμῆμα τὸ περιεχόμενον 
1.8.4	ὑπό τε εὐθείας καὶ ὀρθογωνίου κώνου τομῆς ἐπίτριτόν 
1.8.5	ἐστι τριγώνου τοῦ βάσιν τὴν αὐτὴν ἔχοντος τῷ τμήματι 
1.8.6	καὶ ὕψος ἴσον· ὕστερον δὲ ἡμῖν ὑποπεσόντων θεωρημάτων 
1.8.7	ἀξίων λόγου πεπραγματεύμεθα περὶ τὰς ἀποδείξεις αὐτῶν. 
1.8.8	Ἔστιν δὲ τάδε· πρῶτον μέν, ὅτι πάσης σφαίρας ἡ ἐπιφάνεια 
1.8.9	τετραπλασία ἐστὶν τοῦ μεγίστου κύκλου τῶν ἐν αὐτῇ· 
1.8.10	ἔπειτα δέ, ὅτι παντὸς τμήματος σφαίρας τῇ ἐπιφανείᾳ 
1.8.11	ἴσος ἐστὶ κύκλος, οὗ ἡ ἐκ τοῦ κέντρου ἴση ἐστὶ τῇ εὐθείᾳ 
1.8.12	τῇ ἀπὸ τῆς κορυφῆς τοῦ τμήματος ἀγομένῃ ἐπὶ τὴν 
1.8.13	περιφέρειαν τοῦ κύκλου, ὅς ἐστι βάσις τοῦ τμήματος· 
1.8.14	πρὸς δὲ τούτοις, ὅτι πάσης σφαίρας ὁ κύλινδρος ὁ βάσιν 
1.8.15	μὲν ἔχων ἴσην τῷ μεγίστῳ κύκλῳ τῶν ἐν τῇ σφαίρᾳ, ὕψος 
1.8.16	δὲ ἴσον τῇ διαμέτρῳ τῆς σφαίρας αὐτός τε ἡμιόλιός 
1.8.17	ἐστιν τῆς σφαίρας, καὶ ἡ ἐπιφάνεια αὐτοῦ τῆς ἐπιφανείας 
1.8.18	τῆς σφαίρας. Ταῦτα δὲ τὰ συμπτώματα τῇ φύσει προυπ-
1.8.19	ῆρχεν περὶ τὰ εἰρημένα σχήματα, ἠγνοεῖτο δὲ ὑπὸ τῶν 
1.8.20	πρὸ ἡμῶν περὶ γεωμετρίαν ἀνεστραμμένων οὐδενὸς αὐτῶν 
1.8.21	ἐπινενοηκότος ὅτι τούτων τῶν σχημάτων ἐστὶν συμμετρία·  
1.9.1	διόπερ οὐκ ἂν ὀκνήσαιμι ἀντιπαραβαλεῖν αὐτὰ πρός 
1.9.2	τε τὰ τοῖς ἄλλοις γεωμέτραις τεθεωρημένα καὶ πρὸς τὰ 
1.9.3	δόξαντα πολὺ ὑπερέχειν τῶν ὑπὸ Εὐδόξου περὶ τὰ στερεὰ 
1.9.4	θεωρηθέντων, ὅτι πᾶσα πυραμὶς τρίτον ἐστὶ μέρος πρίσ-
1.9.5	ματος τοῦ βάσιν ἔχοντος τὴν αὐτὴν τῇ πυραμίδι καὶ ὕψος 
1.9.6	ἴσον, καὶ ὅτι πᾶς κῶνος τρίτον μέρος ἐστὶν τοῦ κυλίνδρου 
1.9.7	τοῦ βάσιν ἔχοντος τὴν αὐτὴν τῷ κώνῳ καὶ ὕψος ἴσον· 
1.9.8	καὶ γὰρ τούτων προυπαρχόντων φυσικῶς περὶ ταῦτα τὰ 
1.9.9	σχήματα, πολλῶν πρὸ Εὐδόξου γεγενημένων ἀξίων 
1.9.10	λόγου γεωμετρῶν συνέβαινεν ὑπὸ πάντων ἀγνοεῖσθαι 
1.9.11	μηδ' ὑφ' ἑνὸς κατανοηθῆναι. Ἐξέσται δὲ περὶ τούτων 
1.9.12	ἐπισκέψασθαι τοῖς δυνησομένοις. Ὤφειλε μὲν οὖν Κόνωνος 
1.9.13	ἔτι ζῶντος ἐκδίδοσθαι ταῦτα· τῆνον γὰρ ὑπολαμβάνομέν 
1.9.14	που μάλιστα ἂν δύνασθαι κατανοῆσαι ταῦτα καὶ τὴν 
1.9.15	ἁρμόζουσαν ὑπὲρ αὐτῶν ἀπόφασιν ποιήσασθαι· δοκι-
1.9.16	μάζοντες δὲ καλῶς ἔχειν μεταδιδόναι τοῖς οἰκείοις τῶν 
1.9.17	μαθημάτων ἀποστέλλομέν σοι τὰς ἀποδείξεις ἀναγρά-
1.9.18	ψαντες, ὑπὲρ ὧν ἐξέσται τοῖς περὶ τὰ μαθήματα 
1.9.19	ἀναστρεφομένοις ἐπισκέψασθαι. Ἐρρωμένως. 
1.9.20	  Γράφονται πρῶτον τά τε ἀξιώματα καὶ τὰ λαμβανόμενα 
1.9.21	εἰς τὰς ἀποδείξεις αὐτῶν. 
1.9.22t	{ΑΞΙΩΜΑΤΑ} 
1.9.23	  αʹ. Εἰσί τινες ἐν ἐπιπέδῳ καμπύλαι γραμμαὶ 
1.9.24	πεπερασμέναι, αἳ τῶν τὰ πέρατα ἐπιζευγνυουσῶν αὐτῶν 
1.9.25	εὐθειῶν ἤτοι ὅλαι ἐπὶ τὰ αὐτά εἰσιν ἢ οὐδὲν ἔχουσιν ἐπὶ 
1.9.26	τὰ ἕτερα. 
1.9.27	  βʹ. Ἐπὶ τὰ αὐτὰ δὴ κοίλην καλῶ τὴν τοιαύτην γραμμήν, 
1.9.28	ἐν ᾗ ἐὰν δύο σημείων λαμβανομένων ὁποιωνοῦν αἱ μεταξὺ  
1.10.1	τῶν σημείων εὐθεῖαι ἤτοι πᾶσαι ἐπὶ τὰ αὐτὰ πίπτουσιν 
1.10.2	τῆς γραμμῆς, ἢ τινὲς μὲν ἐπὶ τὰ αὐτά, τινὲς δὲ κατ' αὐτῆς, 
1.10.3	ἐπὶ τὰ ἕτερα δὲ μηδεμία. 
1.10.4	  γʹ. Ὁμοίως δὲ καὶ ἐπιφάνειαί τινές εἰσιν πεπερασμέναι, 
1.10.5	αὐταὶ μὲν οὐκ ἐν ἐπιπέδῳ, τὰ δὲ πέρατα ἔχουσαι ἐν 
1.10.6	ἐπιπέδῳ, αἳ τοῦ ἐπιπέδου, ἐν ᾧ τὰ πέρατα ἔχουσιν, ἤτοι 
1.10.7	ὅλαι ἐπὶ τὰ αὐτὰ ἔσονται ἢ οὐδὲν ἔχουσιν ἐπὶ τὰ ἕτερα. 
1.10.8	  δʹ. Ἐπὶ τὰ αὐτὰ δὴ κοίλας καλῶ τὰς τοιαύτας ἐπι-
1.10.9	φανείας, ἐν αἷς ἂν δύο σημείων λαμβανομένων αἱ μεταξὺ 
1.10.10	τῶν σημείων εὐθεῖαι ἤτοι πᾶσαι ἐπὶ τὰ αὐτὰ πίπτουσιν 
1.10.11	τῆς ἐπιφανείας, ἢ τινὲς μὲν ἐπὶ τὰ αὐτά, τινὲς δὲ κατ' αὐτῆς, 
1.10.12	ἐπὶ τὰ ἕτερα δὲ μηδεμία. 
1.10.13	  εʹ. Τομέα δὲ στερεὸν καλῶ, ἐπειδὰν σφαῖραν κῶνος 
1.10.14	τέμνῃ κορυφὴν ἔχων πρὸς τῷ κέντρῳ τῆς σφαίρας, τὸ 
1.10.15	ἐμπεριεχόμενον σχῆμα ὑπό τε τῆς ἐπιφανείας τοῦ κώνου 
1.10.16	καὶ τῆς ἐπιφανείας τῆς σφαίρας ἐντὸς τοῦ κώνου. 
1.10.17	  Ϛʹ. Ῥόμβον δὲ καλῶ στερεόν, ἐπειδὰν δύο κῶνοι 
1.10.18	τὴν αὐτὴν βάσιν ἔχοντες τὰς κορυφὰς ἔχωσιν ἐφ' ἑκάτερα 
1.10.19	τοῦ ἐπιπέδου τῆς βάσεως, ὅπως οἱ ἄξονες αὐτῶν ἐπ' εὐθείας 
1.10.20	ὦσι κείμενοι, τὸ ἐξ ἀμφοῖν τοῖν κώνοιν συγκείμενον 
1.10.21	στερεὸν σχῆμα. 
1.10.22t	{ΛΑΜΒΑΝΟΜΕΝΑ} 
